Running ./shock1d.py

Starting from step 0
--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              lassen571
  Local adapter:           mlx5_1
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   lassen571
  Local device: mlx5_1
--------------------------------------------------------------------------
[lassen571:77371] mca_base_component_repository_open: unable to open mca_pml_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
[1613405460.755493] [lassen571:77371:0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
[lassen571:77371] mca_base_component_repository_open: unable to open mca_coll_ibm: libcollectives.so.3: cannot open shared object file: No such file or directory (ignored)
[lassen571:77371] mca_base_component_repository_open: unable to open mca_osc_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
Shock capturing parameters: alpha 0.2, s0 -11.0, kappa 0.5
Time step estimate 4.2819136230110855e-07

Viscous timestep estimate 2.142807275319523e-07

4482 elements
rank 0: sent all mesh partitions
Making discretization
Initializing soln.
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'pressure': 'Pa'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'temperature': 'K'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'mass': 'kg/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'energy': 'J/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'momentum': 'kg*m/s/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
./shock1d.py:333: DeprecationWarning: DGDiscretizationWithBoundaries.order is deprecated, consider using the orders of element groups instead. 'order' will go away in 2021.
  visualizer = make_visualizer(discr, discr.order)
Initialization for Case(y0euler)
===
Num 2d order-1 elements: 4482
Num global elements: 4482
Timestep:        1e-07
Final time:      0.0003
CFL:             1.0
Constant CFL:    False
Initialization:  pseudoY0
EOS:             IdealSingleGas

Stepping.
Status: step=0 t=0
------- P(100, 438)
------- T(298, 450)
------- dt=1e-07 cfl=1.0
------- errors=0.00165, 793, 1.13, 0
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
step.max=0 | t_sim.max=0 | t_step.max=3.51991 | min_pressure=0 | max_pressure=0 | min_temperature=0 | max_temperature=0 | memory_usage.max=833.312
step.max=1 | t_sim.max=1e-07 | t_step.max=0.275591 | min_pressure=100 | max_pressure=437.869 | min_temperature=297.995 | max_temperature=449.771 | memory_usage.max=907.562
step.max=2 | t_sim.max=2e-07 | t_step.max=0.275557 | min_pressure=100 | max_pressure=437.878 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=916.688
step.max=3 | t_sim.max=3e-07 | t_step.max=0.274969 | min_pressure=100 | max_pressure=437.879 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=916.875
step.max=4 | t_sim.max=4e-07 | t_step.max=0.274541 | min_pressure=100 | max_pressure=437.88 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=917
step.max=5 | t_sim.max=5e-07 | t_step.max=0.27423 | min_pressure=100 | max_pressure=437.88 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=917.125
step.max=6 | t_sim.max=6e-07 | t_step.max=0.27399 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=917.125
step.max=7 | t_sim.max=7e-07 | t_step.max=0.274088 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=917.188
step.max=8 | t_sim.max=8e-07 | t_step.max=0.274103 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=917.25
step.max=9 | t_sim.max=9e-07 | t_step.max=0.274333 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=917.312
step.max=10 | t_sim.max=1e-06 | t_step.max=0.274203 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=917.438
step.max=11 | t_sim.max=1.1e-06 | t_step.max=0.274487 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=917.438
step.max=12 | t_sim.max=1.2e-06 | t_step.max=0.274182 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=917.5
step.max=13 | t_sim.max=1.3e-06 | t_step.max=0.274507 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=917.562
step.max=14 | t_sim.max=1.4e-06 | t_step.max=0.281369 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=917.562
step.max=15 | t_sim.max=1.5e-06 | t_step.max=0.274414 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=918.75
step.max=16 | t_sim.max=1.6e-06 | t_step.max=0.276497 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=919.062
step.max=17 | t_sim.max=1.7e-06 | t_step.max=0.274235 | min_pressure=100 | max_pressure=437.882 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=919.125
step.max=18 | t_sim.max=1.8e-06 | t_step.max=0.274191 | min_pressure=100 | max_pressure=437.882 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=919.188
step.max=19 | t_sim.max=1.9e-06 | t_step.max=0.27403 | min_pressure=100 | max_pressure=437.882 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=919.188
step.max=20 | t_sim.max=2e-06 | t_step.max=0.274365 | min_pressure=100 | max_pressure=437.882 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=919.188
step.max=21 | t_sim.max=2.1e-06 | t_step.max=0.27429 | min_pressure=100 | max_pressure=437.882 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=919.188
step.max=22 | t_sim.max=2.2e-06 | t_step.max=0.274009 | min_pressure=100 | max_pressure=437.883 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=921.438
step.max=23 | t_sim.max=2.3e-06 | t_step.max=0.274358 | min_pressure=100 | max_pressure=437.883 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=921.438
step.max=24 | t_sim.max=2.4e-06 | t_step.max=0.27425 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=921.438
step.max=25 | t_sim.max=2.5e-06 | t_step.max=0.274119 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=921.438
step.max=26 | t_sim.max=2.6e-06 | t_step.max=0.274126 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=921.438
step.max=27 | t_sim.max=2.7e-06 | t_step.max=0.27382 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=921.438
step.max=28 | t_sim.max=2.8e-06 | t_step.max=0.274017 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=921.438
step.max=29 | t_sim.max=2.9e-06 | t_step.max=0.274239 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=921.438
step.max=30 | t_sim.max=3e-06 | t_step.max=0.273868 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=921.438
step.max=31 | t_sim.max=3.1e-06 | t_step.max=0.27398 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=921.438
step.max=32 | t_sim.max=3.2e-06 | t_step.max=0.273888 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=925.5
step.max=33 | t_sim.max=3.3e-06 | t_step.max=0.279742 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=925.5
step.max=34 | t_sim.max=3.4e-06 | t_step.max=0.275924 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=926.375
step.max=35 | t_sim.max=3.5e-06 | t_step.max=0.273847 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=926.75
step.max=36 | t_sim.max=3.6e-06 | t_step.max=0.273764 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=926.75
step.max=37 | t_sim.max=3.7e-06 | t_step.max=0.273831 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=926.75
step.max=38 | t_sim.max=3.8e-06 | t_step.max=0.273924 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=926.75
step.max=39 | t_sim.max=3.9e-06 | t_step.max=0.273615 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=926.75
step.max=40 | t_sim.max=4e-06 | t_step.max=0.273586 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=926.75
step.max=41 | t_sim.max=4.1e-06 | t_step.max=0.273673 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=926.75
step.max=42 | t_sim.max=4.2e-06 | t_step.max=0.273976 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=926.75
step.max=43 | t_sim.max=4.3e-06 | t_step.max=0.273836 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=930
step.max=44 | t_sim.max=4.4e-06 | t_step.max=0.273865 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=930
step.max=45 | t_sim.max=4.5e-06 | t_step.max=0.273606 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=930
step.max=46 | t_sim.max=4.6e-06 | t_step.max=0.27372 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=930
step.max=47 | t_sim.max=4.7e-06 | t_step.max=0.273685 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=930
step.max=48 | t_sim.max=4.8e-06 | t_step.max=0.273583 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=930
step.max=49 | t_sim.max=4.9e-06 | t_step.max=0.277976 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=930
step.max=50 | t_sim.max=5e-06 | t_step.max=0.420601 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=932.812
step.max=51 | t_sim.max=5.1e-06 | t_step.max=0.273807 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=940.875
step.max=52 | t_sim.max=5.2e-06 | t_step.max=0.279752 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=940.875
step.max=53 | t_sim.max=5.3e-06 | t_step.max=0.27364 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=941
step.max=54 | t_sim.max=5.4e-06 | t_step.max=0.27617 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=941
step.max=55 | t_sim.max=5.5e-06 | t_step.max=0.273702 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=941
step.max=56 | t_sim.max=5.6e-06 | t_step.max=0.273435 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=941
step.max=57 | t_sim.max=5.7e-06 | t_step.max=0.273364 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=941.062
step.max=59 | t_sim.max=5.9e-06 | t_step.max=0.273535 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=941.062
step.max=61 | t_sim.max=6.1e-06 | t_step.max=0.273372 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=941.062
step.max=63 | t_sim.max=6.3e-06 | t_step.max=0.288544 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=941.062
step.max=65 | t_sim.max=6.5e-06 | t_step.max=0.273947 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.787 | memory_usage.max=941.5
step.max=67 | t_sim.max=6.7e-06 | t_step.max=0.273584 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.813 | memory_usage.max=941.5
step.max=69 | t_sim.max=6.9e-06 | t_step.max=0.274138 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.849 | memory_usage.max=941.562
step.max=71 | t_sim.max=7.1e-06 | t_step.max=0.273723 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.896 | memory_usage.max=941.562
step.max=73 | t_sim.max=7.3e-06 | t_step.max=0.281402 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.952 | memory_usage.max=941.562
step.max=75 | t_sim.max=7.5e-06 | t_step.max=0.276234 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=450.018 | memory_usage.max=945.438
step.max=77 | t_sim.max=7.7e-06 | t_step.max=0.273797 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=450.092 | memory_usage.max=946.25
step.max=79 | t_sim.max=7.9e-06 | t_step.max=0.273967 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=450.17 | memory_usage.max=946.25
step.max=81 | t_sim.max=8.1e-06 | t_step.max=0.273926 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=450.261 | memory_usage.max=947.75
step.max=83 | t_sim.max=8.3e-06 | t_step.max=0.273763 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=450.35 | memory_usage.max=947.75
step.max=85 | t_sim.max=8.5e-06 | t_step.max=0.27377 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=450.455 | memory_usage.max=947.75
step.max=87 | t_sim.max=8.7e-06 | t_step.max=0.273998 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=450.557 | memory_usage.max=947.75
step.max=89 | t_sim.max=8.9e-06 | t_step.max=0.273831 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=450.666 | memory_usage.max=951.375
step.max=91 | t_sim.max=9.1e-06 | t_step.max=0.273787 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=450.785 | memory_usage.max=951.375
step.max=93 | t_sim.max=9.3e-06 | t_step.max=0.273708 | min_pressure=100 | max_pressure=437.892 | min_temperature=297.995 | max_temperature=450.9 | memory_usage.max=951.438
