Running ./shock1d.py

Starting from step 0
--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              lassen408
  Local adapter:           mlx5_1
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   lassen408
  Local device: mlx5_1
--------------------------------------------------------------------------
[lassen408:27076] mca_base_component_repository_open: unable to open mca_pml_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
[1613764090.715776] [lassen408:27076:0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
[lassen408:27076] mca_base_component_repository_open: unable to open mca_coll_ibm: libcollectives.so.3: cannot open shared object file: No such file or directory (ignored)
[lassen408:27076] mca_base_component_repository_open: unable to open mca_osc_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
Shock capturing parameters: alpha 0.2, s0 -11.0, kappa 0.5
Time step estimate 4.2819136230110855e-07

Viscous timestep estimate 2.142807275319523e-07

4482 elements
rank 0: sent all mesh partitions
Making discretization
Initializing soln.
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'pressure': 'Pa'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'temperature': 'K'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'mass': 'kg/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'energy': 'J/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'momentum': 'kg*m/s/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
./shock1d.py:335: DeprecationWarning: DGDiscretizationWithBoundaries.order is deprecated, consider using the orders of element groups instead. 'order' will go away in 2021.
  visualizer = make_visualizer(discr, discr.order)
Initialization for Case(y0euler)
===
Num 2d order-1 elements: 4482
Num global elements: 4482
Timestep:        2e-07
Final time:      0.0003
CFL:             1.0
Constant CFL:    False
Initialization:  pseudoY0
EOS:             IdealSingleGas

Stepping.
Status: step=0 t=0
------- P(100, 438)
------- T(298, 450)
------- dt=2e-07 cfl=1.0
------- errors=0.00165, 793, 1.13, 0
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
step.max=0 | t_sim.max=0 | t_step.max=4.74707 | min_pressure=0 | max_pressure=0 | min_temperature=0 | max_temperature=0 | memory_usage.max=833.125
step.max=1 | t_sim.max=2e-07 | t_step.max=1.38083 | min_pressure=100 | max_pressure=437.876 | min_temperature=297.995 | max_temperature=449.772 | memory_usage.max=908
step.max=2 | t_sim.max=4e-07 | t_step.max=1.38757 | min_pressure=100 | max_pressure=437.879 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=916.625
step.max=3 | t_sim.max=6e-07 | t_step.max=1.38238 | min_pressure=100 | max_pressure=437.88 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=916.812
step.max=4 | t_sim.max=8e-07 | t_step.max=1.37866 | min_pressure=100 | max_pressure=437.88 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=916.938
step.max=5 | t_sim.max=1e-06 | t_step.max=1.38916 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=916.938
step.max=6 | t_sim.max=1.2e-06 | t_step.max=1.37697 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=921.812
step.max=7 | t_sim.max=1.4e-06 | t_step.max=1.37692 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=921.812
step.max=8 | t_sim.max=1.6e-06 | t_step.max=1.37742 | min_pressure=100 | max_pressure=437.881 | min_temperature=297.995 | max_temperature=449.773 | memory_usage.max=924.25
step.max=9 | t_sim.max=1.8e-06 | t_step.max=1.38468 | min_pressure=100 | max_pressure=437.882 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=924.25
step.max=10 | t_sim.max=2e-06 | t_step.max=1.37502 | min_pressure=100 | max_pressure=437.882 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=929
step.max=11 | t_sim.max=2.2e-06 | t_step.max=1.37473 | min_pressure=100 | max_pressure=437.882 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=929.625
step.max=12 | t_sim.max=2.4e-06 | t_step.max=1.37513 | min_pressure=100 | max_pressure=437.883 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=932.875
step.max=13 | t_sim.max=2.6e-06 | t_step.max=1.38237 | min_pressure=100 | max_pressure=437.883 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=932.875
step.max=14 | t_sim.max=2.8e-06 | t_step.max=1.37672 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=937.5
step.max=15 | t_sim.max=3e-06 | t_step.max=1.37401 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.774 | memory_usage.max=937.5
step.max=16 | t_sim.max=3.2e-06 | t_step.max=1.374 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=939.875
step.max=17 | t_sim.max=3.4e-06 | t_step.max=1.38033 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=939.875
step.max=18 | t_sim.max=3.6e-06 | t_step.max=1.37662 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=945.375
step.max=19 | t_sim.max=3.8e-06 | t_step.max=1.39051 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=946.812
step.max=20 | t_sim.max=4e-06 | t_step.max=1.37848 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=948.875
